,Source,Date,Positive Score,Negative Score,Neutral Score,Compounded Score,Text
0,BBC,Mon Mar 05 09:00:05 +0000 2018,0.0,0.0,1.0,0.0,😍 A rare pure-white stoat! https://t.co/VoR9jXJmk4
1,BBC,Mon Mar 05 08:30:04 +0000 2018,0.0,0.0,1.0,0.0,"Many personality traits can be observed but there are other hidden forces that shape who we are.
👉… https://t.co/aTsldl7s1z"
2,BBC,Mon Mar 05 08:00:04 +0000 2018,0.0,0.0,1.0,0.0,"🐝🍯 How honey is collected.
#AmazingHotels https://t.co/UIJKlsamx5"
3,BBC,Sun Mar 04 20:11:35 +0000 2018,0.184,0.089,0.726,0.4019,RT @BBCNewsbeat: Miss Piggy has some strong feelings about this year's #Oscars selection 🙈😂 https://t.co/vzHGz8PtmD
4,BBC,Sun Mar 04 19:00:05 +0000 2018,0.386,0.0,0.614,0.8468,Sloths have survived for more than 60 million years - what makes them so successful?  https://t.co/H4BAA5kAOL
5,BBC,Sun Mar 04 18:59:39 +0000 2018,0.118,0.0,0.882,0.4215,RT @BBCWorld: Watch this baby chimp being flown to a new home in DR Congo after it was rescued from poachers 🐒❤️ https://t.co/mZfGI8h6Gc
6,BBC,Sun Mar 04 18:00:09 +0000 2018,0.0,0.099,0.901,-0.3182,"🎬🏆 So you've got the critical acclaim, you've got the industry buzz, you might even have a Golden Globe in your dow… https://t.co/WdGFOHrFMZ"
7,BBC,Sun Mar 04 16:57:46 +0000 2018,0.111,0.0,0.889,0.4588,"RT @BBCWorld: What can we expect from the 90th Academy Awards? A lot has changed since last year. 

Here are eight reasons why the 2018 #Os…"
8,BBC,Sun Mar 04 16:30:12 +0000 2018,0.189,0.0,0.811,0.6369,"❤️ After her double mastectomy, this woman found a unique way of learning to love her new breasts.
👉… https://t.co/KAxQxkQEow"
9,BBC,Sun Mar 04 15:30:29 +0000 2018,0.13,0.0,0.87,0.3382,"He was almost a professional footballer! 😮

11 surprising things we learned from Matt Smith's Desert Island Discs:… https://t.co/TMfwinexEB"
10,BBC,Sun Mar 04 15:00:06 +0000 2018,0.124,0.0,0.876,0.1779,🍫 Meet the teenage chocolatier joining the ranks of Scotland's growing chocolate sector. https://t.co/FeIVc3FeZC
11,BBC,Sun Mar 04 14:03:03 +0000 2018,0.18,0.17,0.65,0.0498,"Two landscape artists begin a romance whilst working at Versailles. ❤️️🌷🎬

A Little Chaos | @BBCiPlayer |… https://t.co/szKKosJ2K2"
12,BBC,Sun Mar 04 13:46:48 +0000 2018,0.298,0.0,0.702,0.802,"RT @BBCSportWales: Can't get enough of this.

Welcome to the wonderful world of football analogies - starring @SwansOfficial manager Carlos…"
13,BBC,Sun Mar 04 13:30:06 +0000 2018,0.101,0.0,0.899,0.2263,"🍿🎞 From #IsleOfDogs to #TombRaider, here are 9 films worth heading to the movies for in March. 
👉… https://t.co/y1xGGocMuA"
14,BBC,Sun Mar 04 12:57:19 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCWomansHour: 👀🎥 @LadyBirdMovie's up for FIVE #Oscars this weekend 🙌 @Saoirse_Ronan talks to us about the film's appeal, her real-life…"
15,BBC,Sun Mar 04 12:56:49 +0000 2018,0.118,0.0,0.882,0.4939,"RT @BBCSport: There are for four gold medals up for grabs at the Track Cycling World Championships today. 🙌

Watch the GB squad in action i…"
16,BBC,Sun Mar 04 12:56:15 +0000 2018,0.0,0.28,0.72,-0.765,"RT @BBCSport: After the shocking news of Davide Astori's death, all Serie A fixtures today have been called off.

👉 https://t.co/rmqcHfLPUX…"
17,BBC,Sun Mar 04 12:55:43 +0000 2018,0.225,0.0,0.775,0.7003,"RT @BBC6Music: 🎬 Let's settle this, what's the greatest ever movie soundtrack or score?

This Sunday from 6-8pm #NP6Music is warming up for…"
18,BBC,Sun Mar 04 12:33:04 +0000 2018,0.0,0.0,1.0,0.0,🎬 An aspiring writer decides to focus on the story of Mississippi's black maids - much to the consternation of her… https://t.co/bDLqgAXBfk
19,BBC,Sun Mar 04 12:00:07 +0000 2018,0.0,0.0,1.0,0.0,"Feeding time! 🍴🦈
#AmazingHotels https://t.co/SnOXnczSAF"
20,BBC,Sun Mar 04 11:54:09 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCEarth: In some parts of the ocean, it’s estimated that there are over half a million pieces of plastic for every square kilometre
#B…"
21,BBC,Sun Mar 04 11:34:05 +0000 2018,0.0,0.0,1.0,0.0,Sir Roger Bannister: First man to run a mile in under four minutes dies at 88. https://t.co/CpLdZchwqi https://t.co/l7ujJ3kHE6
22,BBC,Sun Mar 04 11:00:02 +0000 2018,0.322,0.0,0.678,0.5141,❤️👏 Two-year-old Daisy is a little litter-picking hero. https://t.co/EiYuQkQUlU
23,BBC,Sun Mar 04 10:33:01 +0000 2018,0.285,0.0,0.715,0.657,Would you be able to resist this perfect layer of snow? 😂❄️🌨https://t.co/36rTZveWl5
24,BBC,Sun Mar 04 09:30:03 +0000 2018,0.0,0.0,1.0,0.0,"🍳🥓 Before you fry up your full English this morning, did you know just 1.5 sausages could reduce your lifespan by 3… https://t.co/TXZAcIZKVH"
25,BBC,Sat Mar 03 21:21:40 +0000 2018,0.255,0.0,0.745,0.6249,"RT @BBCRadio4: 🎧 Looking for a new podcast?
📻 Loads of great ideas right here...
https://t.co/DJbWsiWc2D"
26,BBC,Sat Mar 03 19:36:06 +0000 2018,0.167,0.0,0.833,0.296,RT @bbcthree: Your regular reminder that Louis Theroux is a national treasure. https://t.co/vxTqbCttuQ
27,BBC,Sat Mar 03 19:00:05 +0000 2018,0.17,0.11,0.72,0.1695,🎧😎 Some people just don't want to stop raving. https://t.co/agXVmmgVKZ
28,BBC,Sat Mar 03 18:00:16 +0000 2018,0.0,0.271,0.729,-0.7717,"""You can’t dress it up. I said: ‘Mummy’s died’""

💔 Sky Sports anchor @SimonThomasSky, who lost his wife to cancer o… https://t.co/63Q2Wb37oX"
29,BBC,Sat Mar 03 17:58:00 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCWorld: Come on Eileen. 👏👏👏

https://t.co/KLrG8nMMJl"
30,BBC,Sat Mar 03 17:57:56 +0000 2018,0.0,0.0,1.0,0.0,RT @BBCFood: CHOCOLATE CAKE KLAXON 📣 https://t.co/u1wNGs8Vtm https://t.co/UOi707IOaG
31,BBC,Sat Mar 03 17:46:46 +0000 2018,0.0,0.256,0.744,-0.6705,"RT @BBCBreaking: One person suffers ""self-inflicted gun shot wound"" outside the White House, US Secret Service says https://t.co/Bv5sB11BSC"
32,BBC,Sat Mar 03 17:00:03 +0000 2018,0.0,0.0,1.0,0.0,❤️ A mum's tribute to her son Tristan who has Asperger's syndrome. https://t.co/LTZ02FX24V
33,BBC,Sat Mar 03 16:00:08 +0000 2018,0.0,0.0,1.0,0.0,"💀 Less than one-10th of 1% of all species that have ever lived became fossils. 

But from skipping a coffin to avoi… https://t.co/20s85EmMhJ"
34,BBC,Sat Mar 03 15:26:56 +0000 2018,0.0,0.0,1.0,0.0,"RT @bbcpress: 📻 📖 @IanMcKellen, @francesbarber13 and Simon Russell Beale star in a new adaptation of #ParadiseLost @BBCRadio4 - https://t.c…"
35,BBC,Sat Mar 03 15:26:39 +0000 2018,0.123,0.0,0.877,0.4754,RT @BBCFOUR: One of the most inspiring stories in human history. Masters of the Pacific Coast: The Tribes of the American Northwest. Tonigh…
36,BBC,Sat Mar 03 15:07:50 +0000 2018,0.0,0.0,1.0,0.0,RT @BBC100women: For a film to pass the Bechdel Test it needs to feature two women 👭 talking to each other 🗣️ about something other than a…
37,BBC,Sat Mar 03 15:07:40 +0000 2018,0.091,0.2,0.709,-0.4404,RT @bbcweather: Some parts of the UK have seen freezing rain in the last 24 hours - a beautiful but dangerous weather phenomenon. https://t…
